image,true_class,predicted_class,confidence,iou,error_type
Czech_003298,D00,None,,,FN
Czech_003326,D00,None,,,FN
Czech_003326,D00,None,,,FN
Czech_003328,D00,None,,,FN
Czech_003347,D00,D00,0.282041,0.5776,TP
Czech_003374,D00,D00,0.360705,0.8609,TP
Czech_003398,D10,D10,0.284302,0.8728,TP
Czech_003398,D00,D00,0.422143,0.8423,TP
Czech_003398,D10,None,,,FN
Czech_003398,None,D10,0.262196,,FP
Czech_003505,D00,None,,,FN
Czech_003516,D00,None,,,FN
Czech_003562,D00,D00,0.436666,0.7566,TP
Czech_003589,D00,None,,,FN
Czech_003589,D00,None,,,FN
Czech_003589,None,D20,0.317621,,FP
India_000114,D20,D20,0.803936,0.7661,TP
India_000128,D40,None,,,FN
India_000130,D20,D20,0.575419,0.7535,TP
India_000130,None,D10,0.413569,,FP
India_000131,D20,D20,0.616445,0.7214,TP
India_000131,D00,D00,0.633351,0.6874,TP
India_000131,D40,None,,,FN
India_000133,None,D20,0.722183,,FP
India_000155,D00,D00,0.47862,0.7171,TP
India_000155,D40,None,,,FN
India_000191,D20,None,,,FN
India_000191,D20,None,,,FN
India_000191,None,D20,0.321434,,FP
India_000267,D00,D00,0.574134,0.5841,TP
India_000267,D00,None,,,FN
India_000267,D00,None,,,FN
India_000268,D40,D40,0.316937,0.7825,TP
India_000283,D20,D20,0.761651,0.808,TP
India_000297,None,D40,0.324113,,FP
India_000298,D20,D20,0.321161,0.8623,TP
India_000298,D20,None,,,FN
India_000312,D00,None,,,FN
India_000392,D40,None,,,FN
India_000409,D20,D20,0.631374,0.7805,TP
India_000431,D40,None,,,FN
India_000461,None,D40,0.303778,,FP
India_000467,D20,D20,0.293964,0.538,TP
India_000467,None,D20,0.64737,,FP
India_000483,D20,D20,0.636212,0.7514,TP
India_000486,D20,D00,0.299624,0.6924,Misclassification
India_000486,D40,None,,,FN
India_000504,D20,D20,0.628699,0.8437,TP
India_000528,D10,D10,0.593547,0.7786,TP
India_000528,D00,None,,,FN
India_000543,None,D00,0.514529,,FP
India_000548,D20,D20,0.608059,0.5988,TP
India_000555,D20,D20,0.721171,0.5445,TP
India_000555,D20,None,,,FN
India_000561,D00,None,,,FN
India_000562,D00,D00,0.793994,0.8,TP
India_000562,D00,D00,0.386531,0.5739,TP
India_000562,D40,None,,,FN
India_000589,D10,None,,,FN
India_000596,D40,D40,0.685761,0.791,TP
India_000596,D20,None,,,FN
India_000599,D00,None,,,FN
India_000601,D20,D20,0.740913,0.7732,TP
India_000684,D40,D40,0.303682,0.9168,TP
India_000684,D40,None,,,FN
India_000771,D40,None,,,FN
India_000782,D20,None,,,FN
India_000797,D40,D40,0.497847,0.8137,TP
India_000798,D00,None,,,FN
India_000798,None,D00,0.503006,,FP
India_000848,D20,D20,0.714439,0.7788,TP
India_000848,D20,D20,0.319804,0.7474,TP
India_000848,D20,None,,,FN
India_000848,D40,None,,,FN
India_000848,None,D00,0.284921,,FP
India_000861,D20,D20,0.340407,0.7462,TP
India_000905,D00,None,,,FN
India_000922,D20,D20,0.684926,0.8021,TP
India_000955,D20,None,,,FN
India_000955,D20,None,,,FN
India_001004,D00,D40,0.355084,0.7546,Misclassification
India_001004,D00,D40,0.622132,0.6737,Misclassification
India_001004,D00,D40,0.598518,0.6677,Misclassification
India_001004,D20,D20,0.351785,0.611,TP
India_001004,D00,None,,,FN
India_001004,D00,None,,,FN
India_001004,D00,None,,,FN
India_001023,D20,D20,0.303854,0.7544,TP
India_001051,D40,D40,0.309505,0.5588,TP
India_001051,D40,None,,,FN
India_001051,D40,None,,,FN
India_001051,D40,None,,,FN
India_001051,D40,None,,,FN
India_001051,D40,None,,,FN
India_001051,D40,None,,,FN
India_001095,D20,D20,0.56291,0.7443,TP
India_001133,D10,None,,,FN
India_001133,D40,None,,,FN
India_001141,D40,D40,0.554931,0.8135,TP
India_001141,D20,D20,0.660833,0.7427,TP
India_001141,D40,None,,,FN
India_001141,D40,None,,,FN
India_001146,D00,None,,,FN
India_001147,D20,D20,0.700852,0.6601,TP
India_001147,D00,None,,,FN
India_001156,D40,D40,0.281146,0.74,TP
India_001156,D40,D40,0.35899,0.7217,TP
India_001156,D40,D40,0.518385,0.515,TP
India_001156,D40,None,,,FN
India_001156,D40,None,,,FN
India_001156,D40,None,,,FN
India_001160,D00,D00,0.376278,0.8633,TP
India_001160,D00,None,,,FN
India_001160,D00,None,,,FN
India_001160,D20,None,,,FN
India_001187,D20,D20,0.717087,0.8829,TP
India_001198,D00,None,,,FN
India_001239,D40,None,,,FN
India_001239,D40,None,,,FN
India_001239,D40,None,,,FN
India_001239,D40,None,,,FN
India_001239,None,D40,0.26116,,FP
India_001253,D20,D20,0.793042,0.7866,TP
India_001291,D20,None,,,FN
India_001294,D40,D40,0.304003,0.7792,TP
India_001294,D40,None,,,FN
India_001294,D40,None,,,FN
India_001319,D40,D40,0.304138,0.7034,TP
India_001319,D00,None,,,FN
India_001319,D00,None,,,FN
India_001319,None,D40,0.453453,,FP
India_001338,D40,D40,0.690907,0.8222,TP
India_001338,D40,D40,0.588827,0.6852,TP
India_001338,D40,D40,0.331002,0.6115,TP
India_001338,D40,None,,,FN
India_001338,D40,None,,,FN
India_001338,D40,None,,,FN
India_001338,D40,None,,,FN
India_001338,None,D00,0.377492,,FP
India_001357,D20,D20,0.769168,0.8846,TP
India_001362,D20,D20,0.596597,0.9094,TP
India_001385,D40,D40,0.552415,0.8817,TP
India_001385,D00,D00,0.452943,0.8755,TP
India_001385,D40,D40,0.310059,0.5937,TP
India_001385,D40,None,,,FN
India_001385,D40,None,,,FN
India_001392,D40,D40,0.444841,0.7077,TP
India_001392,D00,None,,,FN
India_001392,D00,None,,,FN
India_001424,D40,None,,,FN
India_001449,D20,None,,,FN
India_001466,D40,None,,,FN
India_001466,D40,None,,,FN
India_001466,None,D40,0.321449,,FP
India_001480,D40,D40,0.359684,0.579,TP
India_001524,D40,None,,,FN
India_001528,D40,None,,,FN
India_001528,D40,None,,,FN
India_001528,D40,None,,,FN
India_001561,D20,None,,,FN
India_001561,D40,None,,,FN
India_001561,D40,None,,,FN
India_001578,D40,None,,,FN
India_001580,D40,D40,0.306578,0.7807,TP
India_001605,D00,None,,,FN
India_001605,D40,None,,,FN
India_001646,None,D40,0.516252,,FP
India_001648,D20,D20,0.8282,0.7191,TP
India_001648,D40,None,,,FN
India_001648,D40,None,,,FN
India_001716,D00,None,,,FN
India_001733,D20,None,,,FN
India_001733,None,D20,0.42586,,FP
India_001733,None,D40,0.38782,,FP
India_001736,D20,D20,0.535489,0.5408,TP
India_001736,D40,None,,,FN
India_001736,D00,None,,,FN
India_001736,D20,None,,,FN
India_001736,D40,None,,,FN
India_001736,D40,None,,,FN
India_001736,None,D40,0.337429,,FP
India_001783,D40,D40,0.767537,0.9487,TP
India_001783,D40,D40,0.300253,0.5133,TP
India_001783,D40,None,,,FN
India_001783,None,D40,0.297274,,FP
India_001809,D40,D40,0.533922,0.6453,TP
India_001831,D40,None,,,FN
India_001831,D40,None,,,FN
India_001969,D00,None,,,FN
India_001969,D00,None,,,FN
India_001969,D40,None,,,FN
India_002007,D40,D20,0.307747,0.705,Misclassification
India_002007,D00,D00,0.648696,0.6126,TP
India_002007,D40,None,,,FN
India_002030,D20,D20,0.571825,0.6374,TP
India_002084,D00,None,,,FN
India_002084,D00,None,,,FN
India_002084,None,D20,0.757851,,FP
India_002114,D20,D20,0.344954,0.7436,TP
India_002114,D40,D40,0.267687,0.6585,TP
India_002114,D00,None,,,FN
India_002135,D40,D40,0.591273,0.7557,TP
India_002135,None,D40,0.264867,,FP
India_002238,D00,None,,,FN
India_002248,D40,None,,,FN
India_002248,D40,None,,,FN
India_002248,D40,None,,,FN
India_002253,D40,None,,,FN
India_002253,D40,None,,,FN
India_002253,None,D40,0.368311,,FP
India_002318,D40,None,,,FN
India_002318,D40,None,,,FN
India_002318,D40,None,,,FN
India_002318,None,D40,0.326708,,FP
India_002330,D00,None,,,FN
India_002330,D20,None,,,FN
India_002363,D00,D00,0.470164,0.807,TP
India_002363,D00,D00,0.448251,0.7377,TP
India_002363,D40,D40,0.420915,0.6696,TP
India_002378,D20,D20,0.347282,0.5512,TP
India_002378,None,D20,0.402565,,FP
India_002395,D40,D40,0.294678,0.5939,TP
India_002395,D40,None,,,FN
India_002395,D40,None,,,FN
India_002400,D00,None,,,FN
India_002400,D00,None,,,FN
India_002400,None,D00,0.560446,,FP
India_002400,None,D20,0.451095,,FP
India_002405,D20,None,,,FN
India_002405,D40,None,,,FN
India_002411,D20,D20,0.840445,0.7796,TP
India_002411,D40,None,,,FN
India_002411,None,D40,0.338389,,FP
India_002437,D00,D00,0.286725,0.9006,TP
India_002437,D20,None,,,FN
India_002449,D20,None,,,FN
India_002449,D20,None,,,FN
India_002449,None,D20,0.711233,,FP
India_002466,D00,D00,0.366459,0.8737,TP
India_002490,None,D20,0.334034,,FP
India_002497,D40,None,,,FN
India_002497,D20,None,,,FN
India_002644,D00,D00,0.497069,0.8595,TP
India_002644,D20,D20,0.358721,0.6113,TP
India_002668,D20,D20,0.789564,0.9782,TP
India_002668,D00,None,,,FN
India_002675,None,D00,0.473649,,FP
India_002675,None,D00,0.281108,,FP
India_002679,D40,D40,0.62852,0.8276,TP
India_002679,D40,None,,,FN
India_002679,None,D40,0.378128,,FP
India_002702,D20,D20,0.797709,0.6553,TP
India_002702,D40,None,,,FN
India_002832,D40,D40,0.471559,0.8016,TP
India_002832,D40,D40,0.262675,0.6236,TP
India_002832,None,D40,0.364141,,FP
India_002854,D40,D40,0.330775,0.7554,TP
India_002895,D20,D20,0.548985,0.9105,TP
India_002895,D00,D00,0.424316,0.7396,TP
India_002895,D00,None,,,FN
India_002901,D40,None,,,FN
India_002968,D00,D00,0.534044,0.6737,TP
India_002968,D40,None,,,FN
India_002968,D20,None,,,FN
India_002968,None,D40,0.549122,,FP
India_002969,None,D40,0.346676,,FP
India_002981,D20,D20,0.739915,0.9119,TP
India_002981,D00,None,,,FN
India_003006,D40,D40,0.404312,0.7356,TP
India_003006,D20,None,,,FN
India_003029,D40,None,,,FN
India_003039,D20,D20,0.366264,0.5387,TP
India_003051,D40,D40,0.315044,0.7012,TP
India_003051,D40,None,,,FN
India_003051,None,D40,0.430275,,FP
India_003051,None,D40,0.401812,,FP
India_003066,None,D40,0.426631,,FP
India_003090,D20,D20,0.751211,0.7169,TP
India_003093,D20,D20,0.708969,0.878,TP
India_003093,D20,D20,0.411126,0.5512,TP
India_003093,D00,None,,,FN
India_003093,D00,None,,,FN
India_003093,D00,None,,,FN
India_003150,D00,D00,0.337344,0.8941,TP
India_003150,D40,D40,0.427212,0.7368,TP
India_003150,D40,None,,,FN
India_003150,None,D00,0.340799,,FP
India_003172,D40,D40,0.391057,0.62,TP
India_003172,None,D40,0.67166,,FP
India_003181,D20,None,,,FN
India_003181,None,D20,0.367638,,FP
India_003191,D40,None,,,FN
India_003292,D40,D40,0.331374,0.8806,TP
India_003292,D20,D20,0.479926,0.8103,TP
India_003292,D00,None,,,FN
India_003299,D00,None,,,FN
India_003299,None,D20,0.772427,,FP
India_003334,D40,None,,,FN
India_003362,D40,D40,0.426695,0.8441,TP
India_003362,D40,D40,0.672258,0.7188,TP
India_003362,D40,D40,0.411686,0.6671,TP
India_003362,D40,None,,,FN
India_003362,D20,None,,,FN
India_003365,D20,D20,0.56025,0.8083,TP
India_003365,D00,None,,,FN
India_003365,D40,None,,,FN
India_003365,D40,None,,,FN
India_003365,D00,None,,,FN
India_003365,D40,None,,,FN
India_003365,D00,None,,,FN
India_003389,None,D00,0.327032,,FP
India_003426,D40,None,,,FN
India_003431,D40,D40,0.521703,0.8891,TP
India_003431,D40,None,,,FN
India_003465,None,D00,0.671006,,FP
India_003468,D20,D20,0.298676,0.6738,TP
India_003482,D20,D20,0.811299,0.8675,TP
India_003482,D00,None,,,FN
India_003494,D20,D20,0.59214,0.6736,TP
India_003515,D20,D20,0.560657,0.6062,TP
India_003561,D40,D40,0.407778,0.8204,TP
India_003561,D40,D40,0.595847,0.8094,TP
India_003561,D40,D40,0.324532,0.6578,TP
India_003561,D40,None,,,FN
India_003609,D20,D20,0.580094,0.6384,TP
India_003609,D40,None,,,FN
India_003609,D40,None,,,FN
India_003614,D20,D20,0.785063,0.8207,TP
India_003632,D20,D20,0.641757,0.7389,TP
India_003632,D00,None,,,FN
India_003634,D20,D20,0.451462,0.7408,TP
India_003634,D00,None,,,FN
India_003634,None,D00,0.496699,,FP
India_003642,D20,D20,0.390624,0.5032,TP
India_003704,D20,D20,0.641026,0.9304,TP
India_003704,D40,None,,,FN
India_003704,D40,None,,,FN
India_003736,D00,None,,,FN
India_003736,D00,None,,,FN
India_003742,D00,None,,,FN
India_003766,D20,D20,0.388313,0.7167,TP
India_003766,D20,None,,,FN
India_003810,D00,None,,,FN
India_003810,D00,None,,,FN
India_003810,D00,None,,,FN
India_003810,D00,None,,,FN
India_003810,None,D00,0.564774,,FP
India_003825,D00,D00,0.45267,0.7002,TP
India_003825,D00,None,,,FN
India_003825,D20,None,,,FN
India_003825,None,D00,0.359897,,FP
India_003825,None,D00,0.292886,,FP
India_003827,D20,None,,,FN
India_003841,D10,None,,,FN
India_003841,D00,None,,,FN
India_003878,D40,None,,,FN
India_003878,D40,None,,,FN
India_003878,D40,None,,,FN
India_003928,D20,D20,0.712203,0.6715,TP
India_003929,D00,D00,0.670178,0.8727,TP
India_003944,D00,None,,,FN
India_004073,D20,D20,0.271499,0.5759,TP
India_004073,D00,None,,,FN
India_004081,D00,None,,,FN
India_004081,None,D00,0.376751,,FP
India_004081,None,D00,0.305167,,FP
India_004081,None,D20,0.276374,,FP
India_004100,D40,D40,0.635766,0.6272,TP
India_004100,D40,None,,,FN
India_004100,None,D00,0.396657,,FP
India_004100,None,D40,0.279883,,FP
India_004126,D20,D20,0.269907,0.6338,TP
India_004126,D40,None,,,FN
India_004126,None,D00,0.535785,,FP
India_004126,None,D40,0.4122,,FP
India_004136,D00,D00,0.384346,0.8361,TP
India_004136,D20,D20,0.339806,0.5886,TP
India_004136,D40,None,,,FN
India_004138,D20,D20,0.772713,0.9346,TP
India_004139,None,D40,0.381735,,FP
India_004184,D40,None,,,FN
India_004184,D40,None,,,FN
India_004185,D40,None,,,FN
India_004185,D20,None,,,FN
India_004205,D20,D20,0.749561,0.9369,TP
India_004263,D40,None,,,FN
India_004263,D40,None,,,FN
India_004266,None,D20,0.423314,,FP
India_004273,D00,None,,,FN
India_004274,D20,D20,0.793478,0.7825,TP
India_004290,D40,None,,,FN
India_004290,D40,None,,,FN
India_004354,None,D00,0.329183,,FP
India_004450,D20,D20,0.655599,0.6775,TP
India_004469,D00,D00,0.466193,0.867,TP
India_004469,D40,None,,,FN
India_004489,D20,None,,,FN
India_004489,D20,None,,,FN
India_004489,D20,None,,,FN
India_004489,None,D20,0.741084,,FP
India_004504,D00,None,,,FN
India_004511,D40,D40,0.334818,0.7046,TP
India_004511,D20,D20,0.335728,0.5494,TP
India_004511,D40,D20,0.354746,0.5041,Misclassification
India_004511,D20,None,,,FN
India_004511,D40,None,,,FN
India_004511,D40,None,,,FN
India_004543,D20,D20,0.50025,0.6777,TP
India_004601,D00,D00,0.4699,0.734,TP
India_004601,D20,D00,0.455397,0.7257,Misclassification
India_004601,D00,None,,,FN
India_004601,D00,None,,,FN
India_004663,D40,None,,,FN
India_004671,D20,D20,0.814517,0.8278,TP
India_004690,D20,D20,0.648433,0.5199,TP
India_004801,D40,None,,,FN
India_004801,D40,None,,,FN
India_004803,D00,D20,0.461456,0.6588,Misclassification
India_004842,D00,D00,0.413003,0.7675,TP
India_004880,D20,None,,,FN
India_004880,D00,None,,,FN
India_004880,D40,None,,,FN
India_004880,D40,None,,,FN
India_004906,D20,D20,0.366992,0.611,TP
India_004935,D40,D40,0.749081,0.8928,TP
India_004940,D40,D40,0.39979,0.9108,TP
India_004940,D40,D40,0.445296,0.7609,TP
India_004940,D40,D40,0.420353,0.7325,TP
India_004940,D40,D40,0.318239,0.5271,TP
India_004940,D40,None,,,FN
India_004940,D40,None,,,FN
India_004940,D40,None,,,FN
India_004940,None,D40,0.471025,,FP
India_004940,None,D40,0.428392,,FP
India_004944,D40,D40,0.563217,0.5427,TP
India_004944,D40,None,,,FN
India_004944,D00,None,,,FN
India_004944,None,D40,0.392494,,FP
India_004944,None,D40,0.35802,,FP
India_005035,D20,D20,0.647537,0.8557,TP
India_005047,D40,D40,0.383688,0.8172,TP
India_005047,D00,None,,,FN
India_005067,D40,None,,,FN
India_005067,None,D40,0.444054,,FP
India_005071,D20,None,,,FN
India_005071,D20,None,,,FN
India_005071,D40,None,,,FN
India_005071,None,D20,0.499784,,FP
India_005086,D00,None,,,FN
India_005086,None,D40,0.333119,,FP
India_005120,D20,D20,0.708257,0.8062,TP
India_005138,D20,D20,0.796399,0.6607,TP
India_005138,D40,None,,,FN
India_005166,D20,D20,0.590427,0.7028,TP
India_005176,D20,D20,0.692275,0.7428,TP
India_005188,D00,None,,,FN
India_005220,D00,D00,0.553157,0.8417,TP
India_005277,D00,D00,0.46797,0.7887,TP
India_005280,D00,None,,,FN
India_005280,D40,None,,,FN
India_005284,D40,D40,0.539936,0.7343,TP
India_005284,D40,D40,0.420819,0.6897,TP
India_005284,D20,D20,0.385076,0.6525,TP
India_005284,D00,None,,,FN
India_005284,D00,None,,,FN
India_005284,D00,None,,,FN
India_005289,D20,D20,0.35777,0.6427,TP
India_005289,D40,None,,,FN
India_005302,D20,D20,0.586913,0.7225,TP
India_005305,D40,D40,0.594127,0.7965,TP
India_005305,D40,D40,0.415297,0.5039,TP
India_005305,D40,None,,,FN
India_005305,None,D40,0.579549,,FP
India_005314,D20,None,,,FN
India_005314,D40,None,,,FN
India_005314,D40,None,,,FN
India_005314,D40,None,,,FN
India_005328,D00,D00,0.287407,0.671,TP
India_005328,D00,None,,,FN
India_005328,D00,None,,,FN
India_005328,D00,None,,,FN
India_005328,D00,None,,,FN
India_005328,None,D00,0.260207,,FP
India_005348,D40,D40,0.55171,0.6413,TP
India_005441,D00,None,,,FN
India_005520,None,D20,0.457474,,FP
India_005550,D00,D40,0.289719,0.6469,Misclassification
India_005550,D40,None,,,FN
India_005550,D40,None,,,FN
India_005550,D40,None,,,FN
India_005550,D40,None,,,FN
India_005550,D40,None,,,FN
India_005550,D20,None,,,FN
India_005761,D20,D20,0.640434,0.5232,TP
India_005761,D40,None,,,FN
India_005774,D00,D00,0.657233,0.7539,TP
India_005774,D40,None,,,FN
India_005774,D40,None,,,FN
India_005890,D20,D20,0.755923,0.7696,TP
India_005900,D00,D00,0.771012,0.7383,TP
India_005900,D40,None,,,FN
India_005926,D20,None,,,FN
India_005959,D00,D00,0.738495,0.8358,TP
India_005970,D20,D20,0.266782,0.6321,TP
India_005970,D20,None,,,FN
India_005988,D20,D20,0.614089,0.8378,TP
India_006012,D00,D00,0.639076,0.6907,TP
India_006012,D00,None,,,FN
India_006014,D00,D00,0.263897,0.8096,TP
India_006014,D20,D20,0.37151,0.6627,TP
India_006014,D20,None,,,FN
India_006014,None,D20,0.455006,,FP
India_006098,D40,D40,0.350381,0.7623,TP
India_006117,D40,None,,,FN
India_006117,D40,None,,,FN
India_006117,D40,None,,,FN
India_006117,None,D40,0.294427,,FP
India_006117,None,D40,0.260904,,FP
India_006133,D20,None,,,FN
India_006133,None,D20,0.362948,,FP
India_006205,D00,D00,0.37812,0.9083,TP
India_006205,D00,None,,,FN
India_006212,D40,D40,0.513812,0.8315,TP
India_006212,D40,D40,0.291642,0.7004,TP
India_006212,D20,D20,0.289001,0.601,TP
India_006212,D40,None,,,FN
India_006212,D40,None,,,FN
India_006212,None,D40,0.428809,,FP
India_006214,D40,D20,0.512468,0.7032,Misclassification
India_006214,D40,None,,,FN
India_006250,D40,D40,0.688994,0.8372,TP
India_006275,D20,D20,0.48496,0.7125,TP
India_006275,D40,D40,0.496627,0.6531,TP
India_006275,D40,None,,,FN
India_006325,D00,D00,0.358797,0.8667,TP
India_006325,D20,D20,0.403903,0.6425,TP
India_006325,D40,D40,0.460772,0.5793,TP
India_006325,D20,None,,,FN
India_006325,D40,None,,,FN
India_006328,D40,None,,,FN
India_006373,D40,D40,0.453855,0.8087,TP
India_006376,None,D40,0.347963,,FP
India_006383,D20,D20,0.737581,0.7624,TP
India_006397,D40,None,,,FN
India_006397,D40,None,,,FN
India_006397,D40,None,,,FN
India_006397,D40,None,,,FN
India_006397,D40,None,,,FN
India_006397,None,D40,0.279322,,FP
India_006406,D40,D40,0.2798,0.7299,TP
India_006409,None,D10,0.532641,,FP
India_006450,D20,None,,,FN
India_006450,D00,None,,,FN
India_006450,D40,None,,,FN
India_006491,D20,D20,0.866206,0.863,TP
India_006502,D40,D40,0.294864,0.6546,TP
India_006519,D20,D20,0.274083,0.8005,TP
India_006529,D00,None,,,FN
India_006529,D40,None,,,FN
India_006529,D40,None,,,FN
India_006529,None,D40,0.355528,,FP
India_006633,D20,D20,0.758986,0.6956,TP
India_006633,D40,None,,,FN
India_006633,D40,None,,,FN
India_006646,D00,None,,,FN
India_006646,None,D40,0.266617,,FP
India_006652,None,D20,0.725131,,FP
India_006673,D40,None,,,FN
India_006673,D40,None,,,FN
India_006673,D40,None,,,FN
India_006690,D00,None,,,FN
India_006707,D20,D20,0.366494,0.8238,TP
India_006707,D40,D40,0.325457,0.7814,TP
India_006707,D40,None,,,FN
India_006707,D40,None,,,FN
India_006707,D40,None,,,FN
India_006707,D40,None,,,FN
India_006707,D40,None,,,FN
India_006736,D10,None,,,FN
India_006767,D40,D40,0.550984,0.5867,TP
India_006767,D00,None,,,FN
India_006767,D10,None,,,FN
India_006767,D40,None,,,FN
India_006767,D40,None,,,FN
India_006780,D20,D20,0.584807,0.7406,TP
India_006780,D40,None,,,FN
India_006823,D20,None,,,FN
India_006823,D20,None,,,FN
India_006839,D20,D20,0.776584,0.8282,TP
India_006962,D40,D40,0.497153,0.9143,TP
India_007001,D00,D00,0.640989,0.5484,TP
India_007001,D40,None,,,FN
India_007033,D20,D20,0.393732,0.6644,TP
India_007033,D00,None,,,FN
India_007033,D00,None,,,FN
India_007033,None,D00,0.372238,,FP
India_007033,None,D00,0.3266,,FP
India_007055,D00,None,,,FN
India_007055,D20,None,,,FN
India_007055,D00,None,,,FN
India_007055,None,D00,0.262639,,FP
India_007059,D20,D20,0.343505,0.5823,TP
India_007059,None,D20,0.686175,,FP
India_007094,D00,D00,0.682451,0.836,TP
India_007094,D00,D00,0.319772,0.7176,TP
India_007099,D20,D40,0.325157,0.7011,Misclassification
India_007122,D20,D20,0.458103,0.7531,TP
India_007130,D00,None,,,FN
India_007175,D20,D20,0.457471,0.7336,TP
India_007175,D40,None,,,FN
India_007278,D20,D20,0.759767,0.9087,TP
India_007299,D40,D40,0.404202,0.685,TP
India_007299,D40,D40,0.275539,0.6558,TP
India_007299,D20,D20,0.580584,0.5668,TP
India_007299,D40,None,,,FN
India_007299,None,D40,0.447132,,FP
India_007436,None,D20,0.567354,,FP
India_007491,D40,D40,0.299909,0.5263,TP
India_007491,D40,None,,,FN
India_007527,D00,None,,,FN
India_007581,D20,D20,0.712765,0.822,TP
India_007581,D40,None,,,FN
India_007592,D40,None,,,FN
India_007592,D20,None,,,FN
India_007604,D40,D40,0.648901,0.7977,TP
India_007604,D40,D40,0.44613,0.7346,TP
India_007604,D40,D40,0.518273,0.6107,TP
India_007626,D20,D20,0.478594,0.8195,TP
India_007655,D20,D20,0.746595,0.8546,TP
India_007707,D00,D00,0.513018,0.7073,TP
India_007707,D40,D40,0.634525,0.6783,TP
India_007707,D20,None,,,FN
India_007722,D40,D40,0.262854,0.513,TP
India_007740,D20,D20,0.656454,0.8598,TP
India_007740,D40,None,,,FN
India_007740,None,D40,0.352665,,FP
India_007745,D00,D00,0.642866,0.7769,TP
India_007745,D00,D00,0.46893,0.64,TP
India_007745,D20,None,,,FN
India_007745,D40,None,,,FN
India_007749,D40,D40,0.508536,0.9099,TP
India_007749,D40,D40,0.372969,0.8512,TP
India_007749,D40,D40,0.318047,0.6142,TP
India_007749,D20,D20,0.663033,0.5365,TP
India_007749,D40,None,,,FN
India_007749,D40,None,,,FN
India_007749,D40,None,,,FN
India_007749,None,D40,0.307532,,FP
India_007749,None,D40,0.293435,,FP
India_007754,None,D00,0.329662,,FP
India_007810,D40,D40,0.629001,0.6163,TP
India_007810,D40,None,,,FN
India_007810,D40,None,,,FN
India_007810,D40,None,,,FN
India_007836,D00,D00,0.369981,0.8287,TP
India_007836,D00,None,,,FN
India_007836,D00,None,,,FN
India_007836,None,D00,0.345394,,FP
India_007836,None,D00,0.269632,,FP
India_007895,None,D20,0.328032,,FP
India_007900,D40,D40,0.551664,0.7248,TP
India_007900,D40,None,,,FN
India_007906,D20,D20,0.732992,0.7804,TP
India_007911,D20,D20,0.693803,0.7821,TP
India_007911,D20,D40,0.483806,0.6135,Misclassification
India_008009,D00,D00,0.579251,0.902,TP
India_008009,D20,None,,,FN
India_008009,None,D00,0.273443,,FP
India_008013,D40,None,,,FN
India_008067,D20,D20,0.70798,0.7468,TP
India_008067,D00,None,,,FN
India_008141,D00,None,,,FN
India_008195,D20,D20,0.639759,0.8106,TP
India_008214,D00,None,,,FN
India_008214,D20,None,,,FN
India_008228,D20,D20,0.766278,0.7984,TP
India_008261,D40,D40,0.464408,0.7211,TP
India_008261,D40,None,,,FN
India_008261,D40,None,,,FN
India_008261,D00,None,,,FN
India_008261,D20,None,,,FN
India_008261,D40,None,,,FN
India_008314,D20,None,,,FN
India_008340,D20,D20,0.319781,0.8521,TP
India_008340,D00,None,,,FN
India_008344,D20,D20,0.685171,0.6501,TP
India_008371,D20,None,,,FN
India_008371,D20,None,,,FN
India_008377,None,D00,0.264752,,FP
India_008425,D40,None,,,FN
India_008436,D40,None,,,FN
India_008440,D40,D40,0.574542,0.7887,TP
India_008440,D20,D20,0.721187,0.6464,TP
India_008496,D20,D20,0.776716,0.9438,TP
India_008523,D40,None,,,FN
India_008523,D40,None,,,FN
India_008569,D40,None,,,FN
India_008569,None,D40,0.271772,,FP
India_008584,D20,D20,0.763312,0.8688,TP
India_008585,D20,D20,0.562411,0.8301,TP
India_008623,D20,None,,,FN
India_008643,D00,None,,,FN
India_008643,None,D00,0.405196,,FP
India_008755,D00,None,,,FN
India_008772,D40,D40,0.393715,0.5599,TP
India_008772,D20,None,,,FN
India_008772,D00,None,,,FN
India_008772,D00,None,,,FN
India_008772,None,D20,0.481676,,FP
India_008772,None,D20,0.355879,,FP
India_008792,D20,D20,0.601296,0.7676,TP
India_008874,None,D40,0.287324,,FP
India_008893,D20,D20,0.668015,0.646,TP
India_008907,None,D00,0.448419,,FP
India_008915,D40,D40,0.280096,0.8773,TP
India_008928,D20,None,,,FN
India_008928,D20,None,,,FN
India_008928,None,D20,0.742337,,FP
India_008933,D40,None,,,FN
India_008933,D40,None,,,FN
India_008957,D40,D40,0.342384,0.6927,TP
India_008957,D40,D40,0.293178,0.6548,TP
India_008957,D40,D40,0.267527,0.6221,TP
India_008957,D40,None,,,FN
India_009000,D20,D20,0.429586,0.7902,TP
India_009010,D20,D20,0.824416,0.7427,TP
India_009039,D20,D20,0.811768,0.8411,TP
India_009042,D00,None,,,FN
India_009051,D40,D40,0.651138,0.7794,TP
India_009051,D40,D40,0.394906,0.747,TP
India_009051,D40,D40,0.662922,0.6586,TP
India_009051,D20,None,,,FN
India_009051,D40,None,,,FN
India_009051,D40,None,,,FN
India_009051,D40,None,,,FN
India_009051,None,D20,0.572884,,FP
India_009060,None,D40,0.278154,,FP
India_009080,D40,D40,0.408403,0.712,TP
India_009080,None,D40,0.274159,,FP
India_009127,D20,None,,,FN
